workerid,proliferate.condition,WCO,animacy,condition,determiner,item,response,slide_number,trial_type,catch_trials,subject_information.age,subject_information.classes,subject_information.college,subject_information.comments,subject_information.describe,subject_information.education,subject_information.enjoyment,subject_information.family,subject_information.gender,subject_information.language,subject_information.level,subject_information.lived,subject_information.school,subject_information.years,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1,condition1,,,,,,0.63,,one_slider_practice,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,,,,,,0.19,,one_slider_practice,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,I,YDI,D,fan,0.78,6,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,I,NDI,D,nutritionist,0.42,7,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,A,YQA,Q,conductor,0.61,8,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,f,l,filler,i,filler3,0.25,9,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,I,NQI,Q,pianist,0.77,10,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,I,NQI,Q,queen,0.2,11,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,A,NDA,D,pilot,0.84,12,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,I,NDI,D,stylist,0.23,13,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,I,YQI,Q,bartender,0.73,14,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,A,YQA,Q,scientist,0.23,15,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,I,YDI,D,artist,0.7,16,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,f,l,filler,i,filler2,0.3,17,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,A,NDA,D,playwright,0.69,18,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,I,NQI,Q,groom,0.31,19,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,I,YQI,Q,patient,0.67,20,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,A,YQA,Q,supervisor,0.39,21,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,f,l,filler,i,filler5,0.65,22,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,A,NQA,Q,troopleader,0.44,23,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,A,YDA,D,priest,0.62,24,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,A,NDA,D,chef,0.42,25,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,A,NQA,Q,coach,0.69,26,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,I,YDI,D,choreographer,0.45,27,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,I,YQI,Q,CEO,0.53,28,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,A,YDA,D,doctor,0.3,29,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,f,l,filler,i,filler1,0.66,30,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,Y,A,YDA,D,travelagent,0.35,31,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,A,NQA,Q,professor,0.69,32,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,f,l,filler,i,filler4,0.33,33,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,f,l,filler,i,filler6,0.54,34,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
1,condition1,N,I,NDI,D,dentist,0.75,35,one_slider,[],,,,GREG0,,-1,-1,,,,,,,,Safari,Mac,1440,2560,1.7120833333333334,
2,condition1,,,,,,0.61,,one_slider_practice,[],,,,GREG1,,-1,-1,,,,,,,,Safari,Mac,1440,2560,0.43721666666666664,
2,condition1,,,,,,0.44,,one_slider_practice,[],,,,GREG1,,-1,-1,,,,,,,,Safari,Mac,1440,2560,0.43721666666666664,
2,condition1,N,A,NDA,D,scientist,0.68,6,one_slider,[],,,,GREG1,,-1,-1,,,,,,,,Safari,Mac,1440,2560,0.43721666666666664,
2,condition1,N,A,NDA,D,troopleader,0.34,7,one_slider,[],,,,GREG1,,-1,-1,,,,,,,,Safari,Mac,1440,2560,0.43721666666666664,
2,condition1,f,l,filler,i,filler2,0.61,8,one_slider,[],,,,GREG1,,-1,-1,,,,,,,,Safari,Mac,1440,2560,0.43721666666666664,
2,condition1,N,I,NQI,Q,coach,0.4,9,one_slider,[],,,,GREG1,,-1,-1,,,,,,,,Safari,Mac,1440,2560,0.43721666666666664,
