workerid,proliferate.condition,Browser,OS,screenH,screenW,error
127,condition1,Chrome,Windows,864,1536,
38,condition1,Firefox,Windows,1050,1680,
131,condition1,Chrome,Mac,900,1440,
56,condition1,Chrome,Windows,768,1366,
126,condition1,Chrome,Windows,800,1200,
122,condition1,Chrome,Mac,944,964,
102,condition1,Chrome,Windows,864,1536,
59,condition1,Chrome,Windows,1440,2560,
73,condition1,Chrome,Windows,1080,1920,
98,condition1,Chrome,Windows,864,1536,
55,condition1,Chrome,Windows,1152,2752,
70,condition1,Chrome,Windows,768,1360,
58,condition1,Chrome,Windows,898,1596,
32,condition1,Chrome,Windows,768,1366,
116,condition1,Chrome,Windows,768,1366,
132,condition1,Chrome,Windows,720,1280,
40,condition1,Chrome,Windows,864,1536,
62,condition1,Chrome,Windows,1024,1280,
33,condition1,Chrome,Windows,620,1369,
124,condition1,Chrome,Windows,720,1280,
71,condition1,Chrome,Linux,892,412,
123,condition1,Chrome,Windows,891,1680,
49,condition1,Chrome,Windows,1080,1920,
51,condition1,Chrome,Windows,650,1372,
67,condition1,Chrome,Linux,800,360,
91,condition1,Chrome,Windows,768,1360,
109,condition1,Chrome,Windows,1080,1920,
112,condition1,Chrome,Mac,900,1440,
100,condition1,Chrome,Windows,720,1280,
64,condition1,Chrome,Windows,1080,1920,
87,condition1,Chrome,Windows,864,1536,
65,condition1,Chrome,Windows,720,1280,
120,condition1,Safari,Mac,1180,820,
92,condition1,Chrome,Mac,900,1440,
115,condition1,Chrome,Windows,720,1280,
86,condition1,Chrome,Windows,768,1360,
77,condition1,Chrome,Windows,768,1360,
125,condition1,Chrome,Windows,720,1280,
50,condition1,Chrome,Windows,1080,1920,
119,condition1,Chrome,Windows,960,1707,
114,condition1,Chrome,Windows,768,1366,
66,condition1,Chrome,Windows,1080,1920,
89,condition1,Chrome,Windows,1080,1920,
79,condition1,Chrome,Mac,1080,1920,
69,condition1,Chrome,Windows,768,1366,
39,condition1,Chrome,Mac,1120,1792,
53,condition1,Chrome,Windows,864,1536,
60,condition1,Chrome,Windows,900,1600,
97,condition1,Chrome,Windows,702,1537,
28,condition1,Chrome,Windows,1080,1920,
47,condition1,Chrome,Windows,900,1600,
41,condition1,Chrome,Windows,768,1366,
46,condition1,Chrome,Windows,720,1280,
85,condition1,Safari,Mac,1180,820,
48,condition1,Chrome,Windows,864,1536,
99,condition1,Chrome,Windows,768,1366,
105,condition1,Chrome,Windows,840,1260,
96,condition1,Chrome,Windows,1080,1920,
36,condition1,Chrome,Windows,720,1280,
129,condition1,Chrome,Mac,900,1440,
101,condition1,Chrome,Windows,768,1366,
90,condition1,Firefox,Windows,864,1536,
130,condition1,Chrome,Windows,1235,2195,
42,condition1,Chrome,Windows,768,1360,
103,condition1,Chrome,Windows,864,1536,
95,condition1,Chrome,Windows,864,1536,
43,condition1,Chrome,Windows,900,1600,
61,condition1,Chrome,Windows,1080,1920,
34,condition1,Chrome,Windows,1080,1920,
35,condition1,Chrome,Windows,900,1600,
133,condition1,Chrome,Windows,1080,1920,
45,condition1,Chrome,Windows,768,1366,
57,condition1,Chrome,Windows,768,1360,
93,condition1,Chrome,Windows,864,1536,
72,condition1,Chrome,Windows,768,1366,
76,condition1,Chrome,Windows,864,1536,
75,condition1,Chrome,Windows,864,1536,
52,condition1,Chrome,Windows,1080,1920,
117,condition1,Chrome,Windows,1080,1920,
88,condition1,Chrome,Windows,768,1366,
68,condition1,Chrome,Windows,900,1600,
84,condition1,Chrome,Windows,864,1536,
108,condition1,Chrome,Windows,768,1366,
94,condition1,Chrome,Windows,1024,1280,
111,condition1,Chrome,Mac,956,1470,
54,condition1,Firefox,Windows,1080,1920,
118,condition1,Chrome,Windows,864,1536,
29,condition1,Chrome,Windows,864,1536,
104,condition1,Chrome,Windows,864,1536,
81,condition1,Chrome,Windows,1080,1920,
82,condition1,Firefox,Mac,1080,1920,
113,condition1,Chrome,Windows,768,1366,
30,condition1,Chrome,Windows,864,1536,
37,condition1,Chrome,Windows,960,1536,
74,condition1,Chrome,Mac,768,1360,
110,condition1,Chrome,Windows,1080,1920,
106,condition1,Firefox,Windows,1440,2560,
78,condition1,Safari,Mac,900,1440,
83,condition1,Chrome,Mac,1050,1680,
44,condition1,Firefox,Windows,900,1440,
63,condition1,Chrome,Mac,900,1440,
80,condition1,Chrome,Windows,720,1281,
31,condition1,Chrome,Windows,1080,1920,
