workerid,proliferate.condition,time_in_minutes,error
127,condition1,30.722383333333333,
38,condition1,18.663033333333335,
131,condition1,9.3877,
56,condition1,8.949533333333333,
126,condition1,22.2856,
122,condition1,5.461033333333333,
102,condition1,15.843166666666669,
59,condition1,18.73593333333333,
73,condition1,8.947416666666667,
98,condition1,10.79695,
55,condition1,23.0524,
70,condition1,12.977083333333333,
58,condition1,10.102416666666668,
32,condition1,19.136266666666668,
116,condition1,26.65823333333333,
132,condition1,12.827333333333334,
40,condition1,12.580733333333333,
62,condition1,30.600583333333333,
33,condition1,6.811933333333333,
124,condition1,10.869683333333333,
71,condition1,16.65545,
123,condition1,7.244783333333333,
49,condition1,35.64,
51,condition1,6.965933333333333,
67,condition1,13.5534,
91,condition1,8.292433333333333,
109,condition1,10.70045,
112,condition1,19.769166666666667,
100,condition1,8.762433333333334,
64,condition1,10.978116666666669,
87,condition1,8.599683333333333,
65,condition1,8.375366666666666,
120,condition1,12.442633333333331,
92,condition1,14.2909,
115,condition1,13.650366666666669,
86,condition1,12.502683333333334,
77,condition1,15.2176,
125,condition1,11.371516666666666,
50,condition1,9.988133333333334,
119,condition1,14.242516666666669,
114,condition1,20.896483333333332,
66,condition1,17.2339,
89,condition1,21.619416666666663,
79,condition1,13.5163,
69,condition1,9.697583333333334,
39,condition1,12.010983333333334,
53,condition1,28.645633333333333,
60,condition1,9.212266666666666,
97,condition1,18.836016666666666,
28,condition1,10.598166666666666,
47,condition1,15.630033333333332,
41,condition1,8.793433333333333,
46,condition1,14.7766,
85,condition1,10.239766666666666,
48,condition1,6.776183333333333,
99,condition1,8.273833333333334,
105,condition1,20.74055,
96,condition1,7.7047,
36,condition1,33.5553,
129,condition1,8.568816666666667,
101,condition1,14.627833333333331,
90,condition1,10.293033333333334,
130,condition1,11.334333333333332,
42,condition1,6.752966666666667,
103,condition1,9.045483333333332,
95,condition1,9.244633333333333,
43,condition1,10.656183333333331,
61,condition1,4.990283333333333,
34,condition1,5.880166666666667,
35,condition1,30.122466666666668,
133,condition1,12.253366666666668,
45,condition1,10.428966666666666,
57,condition1,35.66928333333333,
93,condition1,17.397666666666666,
72,condition1,13.185883333333331,
76,condition1,37.1919,
75,condition1,23.979583333333338,
52,condition1,6.25185,
117,condition1,10.59315,
88,condition1,15.3454,
68,condition1,17.750533333333333,
84,condition1,8.044683333333333,
108,condition1,11.558183333333334,
94,condition1,14.073333333333334,
111,condition1,6.909216666666667,
54,condition1,12.900983333333333,
118,condition1,10.9096,
29,condition1,11.479683333333334,
104,condition1,13.9299,
81,condition1,6.9279,
82,condition1,8.563516666666667,
113,condition1,15.468433333333332,
30,condition1,7.170866666666667,
37,condition1,18.5361,
74,condition1,36.70256666666667,
110,condition1,9.73525,
106,condition1,7.979416666666666,
78,condition1,12.07535,
83,condition1,14.503683333333331,
44,condition1,14.8035,
63,condition1,20.768233333333335,
80,condition1,9.131683333333331,
31,condition1,5.429466666666666,
