"","workerid","WCO","animacy","condition","determiner","item","response","slide_number","trial_type","subject_information.assess","subject_information.gender","subject_information.age","subject_information.language","time_in_minutes","unique_worker"
"1",85,"","","","","",0.05,NA,"one_slider_practice","Yes","Male","21","English",23.3444666666667,"S 85"
"2",85,"","","","","",0.8,NA,"one_slider_practice","Yes","Male","21","English",23.3444666666667,"S 85"
"3",85,"f","l","filler","i","filler1",0.98,6,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"4",85,"f","l","filler","i","filler6",0.98,7,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"5",85,"N","I","NQI","Q","stylist",0.98,8,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"6",85,"N","I","NDI","D","pianist",0.03,9,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"7",85,"Y","A","YDA","D","patient",0.98,10,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"8",85,"Y","I","YDI","D","supervisor",0.12,11,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"9",85,"Y","I","YQI","Q","dentist",0.51,12,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"10",85,"N","I","NQI","Q","travelagent",0.97,13,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"11",85,"Y","I","YDI","D","groom",0.79,14,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"12",85,"Y","A","YQA","Q","scientist",0.82,15,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"13",85,"Y","I","YQI","Q","playwright",0.76,16,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"14",85,"N","I","NQI","Q","bartender",0.9,17,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"15",85,"Y","A","YQA","Q","coach",0.98,18,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"16",85,"N","A","NDA","D","professor",0.85,19,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"17",85,"f","l","filler","i","filler4",0.86,20,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"18",85,"N","A","NQA","Q","fan",0.78,21,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"19",85,"Y","I","YQI","Q","queen",1,22,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"20",85,"Y","A","YDA","D","pilot",0.47,23,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"21",85,"f","l","filler","i","filler3",0.47,24,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"22",85,"Y","I","YDI","D","priest",1,25,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"23",85,"N","A","NDA","D","chef",1,26,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"24",85,"f","l","filler","i","filler2",1,27,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"25",85,"Y","A","YQA","Q","choreographer",1,28,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"26",85,"f","l","filler","i","filler5",0.22,29,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"27",85,"N","I","NDI","D","doctor",0.86,30,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"28",85,"N","A","NQA","Q","artist",1,31,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"29",85,"N","I","NDI","D","nutritionist",0.15,32,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"30",85,"Y","A","YDA","D","troopleader",0.96,33,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"31",85,"N","A","NQA","Q","CEO",1,34,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"32",85,"N","A","NDA","D","conductor",0.98,35,"one_slider","Yes","Male","21","English",23.3444666666667,"S 85"
"33",103,"","","","","",0.78,NA,"one_slider_practice","Yes","Male","21","English",9.39078333333333,"S 103"
"34",103,"","","","","",0.92,NA,"one_slider_practice","Yes","Male","21","English",9.39078333333333,"S 103"
"35",103,"N","I","NQI","Q","groom",0.5,6,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"36",103,"f","l","filler","i","filler4",0.92,7,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"37",103,"Y","A","YQA","Q","conductor",0.88,8,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
